aircraft_id,tail_number,aircraft_model,airline,status,creation_date
15657,N740UW,A319-,American Airlines,Active,2022-07-18T20:22:00.000
15656,CGYWJ,B737-300,WestJet Airlines,Active,2022-07-18T19:41:00.000
15655,N7738A,B737-700,Southwest Airlines,Active,2022-07-17T17:38:00.000
15654,N812NN,B737-800,American Airlines,Active,2022-07-17T17:26:00.000
15653,N928NN,B737-800,American Airlines,Active,2022-07-17T17:24:00.000
15652,CGRAG,B737-800,WestJet Airlines,Active,2022-07-17T16:25:00.000
15651,N5479A,B737-800,Sun Country Airlines,Active,2022-07-16T22:33:00.000
15650,CFUMF,B737-800,WestJet Airlines,Active,2022-07-16T22:26:00.000
15649,N931AK,B737-900,Alaska Airlines,Active,2022-07-16T14:12:00.000
15648,N128DU,A220-100,Delta Air Lines,Active,2022-07-16T13:45:00.000
15647,N502DX,A321-100,Delta Air Lines,Active,2022-07-15T20:10:00.000
15646,CGVUH,A220-100,Air Canada,Active,2022-07-15T20:06:00.000
15645,N962AN,B737-800,American Airlines,Active,2022-07-14T22:16:00.000
15644,CGJXN,A220-100,Air Canada,Active,2022-07-14T18:47:00.000
15634,N382RR,B737-800,American Airlines,Active,2022-07-11T20:34:00.000
15633,CGUPL,A220-100,Air Canada,Active,2022-07-11T19:27:00.000
15632,CGWBX,B737-700,WestJet Airlines,Active,2022-07-11T19:21:00.000
15631,CGRAX,B737-800,WestJet Airlines,Active,2022-07-10T21:03:00.000
15630,CGJYC,A220-100,Air Canada,Active,2022-07-10T17:05:00.000
15629,N5693A,B737-800,Sun Country Airlines,Active,2022-07-09T17:00:00.000
15628,N144DU,A220-100,Delta Air Lines,Active,2022-07-09T15:49:00.000
15627,N326SJ,B737-800,American Airlines,Active,2022-07-08T21:49:00.000
15626,N992AN,B737-800,American Airlines,Active,2022-07-08T21:15:00.000
15625,N5261A,B737-800,Sun Country Airlines,Active,2022-07-08T15:51:00.000
15624,JA891A,B787-9,All Nippon Airways,Active,2022-07-08T15:00:00.000
15623,CFWSF,B737-700,WestJet Airlines,Active,2022-07-08T14:35:00.000
15622,N936AN,B737-800,American Airlines,Active,2022-07-07T22:00:00.000
15621,N863NN,B737-800,American Airlines,Active,2022-07-07T16:52:00.000
15620,N7907A,B737-800,Sun Country Airlines,Active,2022-07-07T16:14:00.000
15619,N8059A,B737-800,Sun Country Airlines,Active,2022-07-07T16:11:00.000
15618,N929AK,B737-900,Alaska Airlines,Active,2022-07-07T15:50:00.000
15617,CFKRF,B737-800,WestJet Airlines,Active,2022-07-07T13:34:00.000
15616,N7901A,B737-800,Sun Country Airlines,Active,2022-07-06T18:11:00.000
15615,CGFAF,A330-300,Air Canada,Active,2022-07-06T16:20:00.000
15614,N820AW,A319-,American Airlines,Active,2022-07-04T20:04:00.000
15613,CFIVK,B777-200,Air Canada,Active,2022-07-04T18:26:00.000
15612,JA876A,B787-9,All Nippon Airways,Active,2022-07-04T17:33:00.000
15611,N961AN,B737-800,American Airlines,Active,2022-07-03T18:46:00.000
15610,CGMWJ,B737-800,WestJet Airlines,Active,2022-07-03T18:09:00.000
15609,JA933A,B787-9,All Nippon Airways,Active,2022-07-03T13:27:00.000
15608,JA928A,B787-9,All Nippon Airways,Active,2022-07-03T08:06:00.000
15607,N842SY,B737-800,Sun Country Airlines,Active,2022-07-02T19:49:00.000
15606,CGUPK,A220-100,Air Canada,Active,2022-07-02T17:35:00.000
15605,CHFAJ,A330-300,Air Canada,Active,2022-07-02T15:14:00.000
15604,CGJXY,A220-100,Air Canada,Active,2022-07-02T15:12:00.000
15603,JA872A,B787-9,All Nippon Airways,Active,2022-07-02T11:40:00.000
15602,N111NG,A220-100,Delta Air Lines,Active,2022-07-01T21:02:00.000
15601,CFWSE,B737-800,WestJet Airlines,Active,2022-07-01T13:38:00.000
15600,N311DU,A220-100,Delta Air Lines,Active,2022-06-30T18:23:00.000
15599,N304RB,B737-800,American Airlines,Active,2022-06-30T17:25:00.000
15598,N943AN,B737-800,American Airlines,Active,2022-06-30T17:21:00.000
15597,JA873A,B787-9,All Nippon Airways,Active,2022-06-30T13:59:00.000
15596,ZK-NZF,B787-9,Air New Zealand,Active,2022-06-30T08:25:00.000
15595,CGKUG,A330-300,Air Canada,Active,2022-06-29T18:06:00.000
15594,CGMZN,A220-100,Air Canada,Active,2022-06-29T18:05:00.000
15593,CGEKX,B737-800,Air Canada,Active,2022-06-28T19:11:00.000
15592,ZKNZM,B787-9,Air New Zealand,Active,2022-06-28T05:43:00.000
15591,BLQF,A350-900,Cathay Pacific,Active,2022-06-27T20:34:00.000
15590,CGEJL,B737-800,Air Canada,Active,2022-06-27T17:21:00.000
15589,N948AN,B737-800,American Airlines,Active,2022-06-27T16:40:00.000
15588,CFWSY,B737-700,WestJet Airlines,Active,2022-06-27T15:46:00.000
15587,CGHKW,A330-300,Air Canada,Active,2022-06-26T20:14:00.000
15586,N134AN,A321-100,American Airlines,Active,2022-06-26T17:37:00.000
15585,N123UW,A320-200,American Airlines,Active,2022-06-26T16:19:00.000
15584,CGWSO,B737-700,WestJet Airlines,Active,2022-06-26T15:51:00.000
15583,ZK-NZH,B787-9,Air New Zealand,Active,2022-06-26T08:32:00.000
15582,N757UW,A319-,American Airlines,Active,2022-06-25T16:05:00.000
15581,CFKWJ,B737-800,WestJet Airlines,Active,2022-06-25T15:17:00.000
15580,N206BZ,A220-100,"Breeze Aviation Group, Inc.",Active,2022-06-24T18:47:00.000
15579,N414SY,E175-,Alaska Airlines,Active,2022-06-23T20:58:00.000
15578,CGITU,A321-100,Air Canada,Active,2022-06-23T18:55:00.000
15577,N128AN,A321-100,American Airlines,Active,2022-06-23T18:14:00.000
15576,N939NN,B737-800,American Airlines,Active,2022-06-23T18:08:00.000
15575,N124US,A320-200,American Airlines,Active,2022-06-23T17:59:00.000
15574,CGELQ,B737-800,Air Canada,Active,2022-06-22T17:42:00.000
15573,CGEGP,A330-300,Air Canada,Active,2022-06-21T18:20:00.000
15572,N1489A,B767-300,"Atlas Air, Inc",Active,2022-06-20T10:15:00.000
15571,N920AK,B737-900,Alaska Airlines,Active,2022-06-19T16:53:00.000
15570,N810UA,A319-,United Airlines,Active,2022-06-18T19:52:00.000
15569,N910NN,B737-800,American Airlines,Active,2022-06-18T16:23:00.000
15568,N932AM,A321-100,American Airlines,Active,2022-06-18T15:48:00.000
15567,CGHLM,A330-300,Air Canada,Active,2022-06-16T16:15:00.000
15566,N412SY,EMB-170,Skywest Airlines,Active,2022-06-14T17:01:00.000
15565,N413SY,EMB-170,Skywest Airlines,Active,2022-06-14T17:00:00.000
15564,N344PP,B737-800,American Airlines,Active,2022-06-12T21:22:00.000
15563,N119DN,A321-100,Delta Air Lines,Active,2022-06-11T20:14:00.000
15562,N906NN,B737-800,American Airlines,Active,2022-06-11T16:24:00.000
15561,N411SY,E175-,Skywest Airlines,Active,2022-06-11T10:58:00.000
15560,N143DU,A220-100,Delta Air Lines,Active,2022-06-10T16:41:00.000
15559,CGKWJ,B737-800,WestJet Airlines,Active,2022-06-09T20:56:00.000
15558,N145DQ,A220-100,Delta Air Lines,Active,2022-06-09T18:02:00.000
15557,N749US,A319-,American Airlines,Active,2022-06-09T16:11:00.000
15556,N659FE,A300-600,Federal Express,Active,2022-06-08T17:51:00.000
15555,CGEIV,B737-800,Air Canada,Active,2022-06-07T16:04:00.000
15554,N848NN,B737-800,American Airlines,Active,2022-06-06T21:13:00.000
15553,N829NN,B737-800,American Airlines,Active,2022-06-06T20:52:00.000
15552,CGEKZ,B737-800,Air Canada,Active,2022-06-06T16:21:00.000
15551,CGWRG,B737-800,WestJet Airlines,Active,2022-06-06T15:27:00.000
